# TIME (S)   X_POS (M)   Y_POS (M)
   2.20999837       31.2542152       7.29766846    
   2.21999836       31.3956375       7.22179842    
   2.22999835       31.5370598       7.14494705    
   2.23999834       31.6784821       7.06711483    
   2.24999833       31.8199043       6.98830175    
   2.25999832       31.9613266       6.90850735    
   2.26999831       32.1027489       6.82773209    
   2.27999830       32.2441711       6.74597597    
   2.28999829       32.3855934       6.66323853    
   2.29999828       32.5270157       6.57952023    
   2.30999827       32.6684380       6.49482107    
   2.31999826       32.8098602       6.40914106    
   2.32999825       32.9512825       6.32247972    
   2.33999825       33.0927048       6.23483753    
   2.34999824       33.2341270       6.14621449    
   2.35999823       33.3755493       6.05661011    
   2.36999822       33.5169716       5.96602488    
   2.37999821       33.6583939       5.87445879    
   2.38999820       33.7998161       5.78191137    
   2.39999819       33.9412384       5.68838310    
   2.40999818       34.0826607       5.59387398    
   2.41999817       34.2240829       5.49838400    
   2.42999816       34.3655052       5.40191269    
   2.43999815       34.5069275       5.30446053    
   2.44999814       34.6483498       5.20602751    
   2.45999813       34.7897720       5.10661316    
   2.46999812       34.9311943       5.00621796    
   2.47999811       35.0726166       4.90484190    
   2.48999810       35.2140388       4.80248451    
   2.49999809       35.3554611       4.69914627    
   2.50999808       35.4968834       4.59482718    
   2.51999807       35.6383057       4.48952723    
   2.52999806       35.7797279       4.38324594    
   2.53999805       35.9211502       4.27598381    
   2.54999804       36.0625725       4.16774082    
   2.55999804       36.2039948       4.05851650    
   2.56999803       36.3454170       3.94831157    
   2.57999802       36.4868393       3.83712554    
   2.58999801       36.6282616       3.72495866    
   2.59999800       36.7696838       3.61181068    
   2.60999799       36.9111061       3.49768186    
   2.61999798       37.0525284       3.38257194    
   2.62999797       37.1939507       3.26648092    
   2.63999796       37.3353729       3.14940906    
   2.64999795       37.4767952       3.03135610    
   2.65999794       37.6182175       2.91232228    
   2.66999793       37.7596397       2.79230738    
   2.67999792       37.9010620       2.67131138    
   2.68999791       38.0424843       2.54933453    
   2.69999790       38.1839066       2.42637658    
   2.70999789       38.3253288       2.30243778    
   2.71999788       38.4667511       2.17751789    
   2.72999787       38.6081734       2.05161691    
   2.73999786       38.7495956       1.92473495    
   2.74999785       38.8910179       1.79687202    
   2.75999784       39.0324402       1.66802800    
   2.76999784       39.1738625       1.53820300    
   2.77999783       39.3152847       1.40739703    
   2.78999782       39.4567070       1.27561009    
   2.79999781       39.5981293       1.14284217    
   2.80999780       39.7395515       1.00909317    
   2.81999779       39.8809738      0.874363244    
   2.82999778       40.0223961      0.738652349    
   2.83999777       40.1638184      0.601960480    
   2.84999776       40.3052406      0.464287579    
   2.85999775       40.4466629      0.325633675    
   2.86999774       40.5880852      0.185998768    
   2.87999773       40.7295074       4.53828573E-02
   2.88999772       40.8709297       0.00000000    
   2.89999771       41.0123520       9.89706814E-02
   2.90999770       41.1537743      0.196960375    
   2.91999769       41.2951965      0.293969065    
   2.92999768       41.4366188      0.389996767    
   2.93999767       41.5780411      0.485043466    
   2.94999766       41.7194633      0.579109192    
   2.95999765       41.8608856      0.672193885    
   2.96999764       42.0023079      0.764297605    
   2.97999763       42.1437302      0.855420291    
   2.98999763       42.2851524      0.945562005    
   2.99999762       42.4265747       1.03472269    
   3.00999761       42.5679970       1.12290239    
   3.01999760       42.7094193       1.21010101    
   3.02999759       42.8508415       1.29631865    
   3.03999758       42.9922638       1.38155532    
   3.04999757       43.1336861       1.46581101    
   3.05999756       43.2751083       1.54908574    
   3.06999755       43.4165306       1.63137937    
   3.07999754       43.5579529       1.71269202    
   3.08999753       43.6993752       1.79302371    
   3.09999752       43.8407974       1.87237442    
   3.10999751       43.9822197       1.95074415    
   3.11999750       44.1236420       2.02813292    
   3.12999749       44.2650642       2.10454082    
   3.13999748       44.4064865       2.17996764    
   3.14999747       44.5479088       2.25441337    
   3.15999746       44.6893311       2.32787824    
   3.16999745       44.8307533       2.40036201    
   3.17999744       44.9721756       2.47186470    
   3.18999743       45.1135979       2.54238653    
   3.19999743       45.2550201       2.61192727    
   3.20999742       45.3964424       2.68048716    
   3.21999741       45.5378647       2.74806595    
   3.22999740       45.6792870       2.81466365    
   3.23999739       45.8207092       2.88028049    
   3.24999738       45.9621315       2.94491625    
   3.25999737       46.1035538       3.00857091    
   3.26999736       46.2449760       3.07124472    
   3.27999735       46.3863983       3.13293743    
   3.28999734       46.5278206       3.19364929    
   3.29999733       46.6692429       3.25338006    
   3.30999732       46.8106651       3.31212974    
   3.31999731       46.9520874       3.36989856    
   3.32999730       47.0935097       3.42668629    
   3.33999729       47.2349319       3.48249316    
   3.34999728       47.3763542       3.53731894    
   3.35999727       47.5177765       3.59116364    
   3.36999726       47.6591988       3.64402747    
   3.37999725       47.8006210       3.69591022    
   3.38999724       47.9420433       3.74681187    
   3.39999723       48.0834656       3.79673266    
   3.40999722       48.2248878       3.84567237    
   3.41999722       48.3663101       3.89363122    
   3.42999721       48.5077324       3.94060898    
   3.43999720       48.6491547       3.98660564    
   3.44999719       48.7905769       4.03162098    
   3.45999718       48.9319992       4.07565546    
   3.46999717       49.0734215       4.11870909    
   3.47999716       49.2148438       4.16078138    
   3.48999715       49.3562660       4.20187283    
   3.49999714       49.4976883       4.24198341    
   3.50999713       49.6391106       4.28111315    
   3.51999712       49.7805328       4.31926155    
   3.52999711       49.9219551       4.35642910    
   3.53999710       50.0633774       4.39261580    
   3.54999709       50.2047997       4.42782116    
