 RUNNING SIMULATION...
 T=   1.89999855     , X=   26.8701248     , Y=   9.16305828    
 T=   1.90999854     , X=   27.0115471     , Y=   9.11759949    
 T=   1.91999853     , X=   27.1529694     , Y=   9.07115936    
 T=   1.92999852     , X=   27.2943916     , Y=   9.02373886    
 T=   1.93999851     , X=   27.4358139     , Y=   8.97533703    
 T=   1.94999850     , X=   27.5772362     , Y=   8.92595387    
 T=   1.95999849     , X=   27.7186584     , Y=   8.87559032    
 T=   1.96999848     , X=   27.8600807     , Y=   8.82424545    
 T=   1.97999847     , X=   28.0015030     , Y=   8.77192020    
 T=   1.98999846     , X=   28.1429253     , Y=   8.71861362    
 T=   1.99999845     , X=   28.2843475     , Y=   8.66432571    
 T=   2.00999856     , X=   28.4257698     , Y=   8.60905743    
 T=   2.01999855     , X=   28.5671921     , Y=   8.55280781    
 T=   2.02999854     , X=   28.7086143     , Y=   8.49557686    
 T=   2.03999853     , X=   28.8500366     , Y=   8.43736553    
 T=   2.04999852     , X=   28.9914589     , Y=   8.37817287    
 T=   2.05999851     , X=   29.1328812     , Y=   8.31799889    
 T=   2.06999850     , X=   29.2743034     , Y=   8.25684452    
 T=   2.07999849     , X=   29.4157257     , Y=   8.19470882    
 T=   2.08999848     , X=   29.5571480     , Y=   8.13159180    
 T=   2.09999847     , X=   29.6985703     , Y=   8.06749439    
 T=   2.10999846     , X=   29.8399925     , Y=   8.00241566    
 T=   2.11999846     , X=   29.9814148     , Y=   7.93635559    
 T=   2.12999845     , X=   30.1228371     , Y=   7.86931419    
 T=   2.13999844     , X=   30.2642593     , Y=   7.80129194    
 T=   2.14999843     , X=   30.4056816     , Y=   7.73228884    
 T=   2.15999842     , X=   30.5471039     , Y=   7.66230440    
 T=   2.16999841     , X=   30.6885262     , Y=   7.59133911    
 T=   2.17999840     , X=   30.8299484     , Y=   7.51939297    
 T=   2.18999839     , X=   30.9713707     , Y=   7.44646597    
 T=   2.19999838     , X=   31.1127930     , Y=   7.37255764    
 T=   2.20999837     , X=   31.2542152     , Y=   7.29766846    
 T=   2.21999836     , X=   31.3956375     , Y=   7.22179842    
 T=   2.22999835     , X=   31.5370598     , Y=   7.14494705    
 T=   2.23999834     , X=   31.6784821     , Y=   7.06711483    
 T=   2.24999833     , X=   31.8199043     , Y=   6.98830175    
 T=   2.25999832     , X=   31.9613266     , Y=   6.90850735    
 T=   2.26999831     , X=   32.1027489     , Y=   6.82773209    
 T=   2.27999830     , X=   32.2441711     , Y=   6.74597597    
 T=   2.28999829     , X=   32.3855934     , Y=   6.66323853    
 T=   2.29999828     , X=   32.5270157     , Y=   6.57952023    
 T=   2.30999827     , X=   32.6684380     , Y=   6.49482107    
 T=   2.31999826     , X=   32.8098602     , Y=   6.40914106    
 T=   2.32999825     , X=   32.9512825     , Y=   6.32247972    
 T=   2.33999825     , X=   33.0927048     , Y=   6.23483753    
 T=   2.34999824     , X=   33.2341270     , Y=   6.14621449    
 T=   2.35999823     , X=   33.3755493     , Y=   6.05661011    
 T=   2.36999822     , X=   33.5169716     , Y=   5.96602488    
 T=   2.37999821     , X=   33.6583939     , Y=   5.87445879    
 T=   2.38999820     , X=   33.7998161     , Y=   5.78191137    
 T=   2.39999819     , X=   33.9412384     , Y=   5.68838310    
 T=   2.40999818     , X=   34.0826607     , Y=   5.59387398    
 T=   2.41999817     , X=   34.2240829     , Y=   5.49838400    
